# Objects to drop in the parent-building step based on VI.
#
# NB: If "region" is blank, then drop from all/both regions.
#
# NB: The comment "very poor initial positions" means the source is
# real but it just needs more work.
#
objname,region,comment
WISEA J162746.86-241341.4,,
WISEA J171549.38+010544.4,,
GALEXASC J180325.47+120339.9,,
WISEA J023532.62+312223.5,,
WISEA J032842.99+203747.5,,
2MASX J18091991+1258421,,
WISEA J024215.02+281245.2,,
WISEA J024456.75+245816.1,,
WISEA J004948.11+341937.2,,
2MASS J00492811+3419381,,
WISEA J005042.73+341933.0,,
2MASX J00420011+3356536,,
WISEA J004323.23+350648.0,,
WISEA J004455.31+341726.3,,
WISEA J235720.52+340339.1,,
WISEA J200525.97+064700.7,,
WISEA J132428.18-425304.3,,
2MASX J13221701-4807165,,
2MASS J13220944-4809157,,
WISEA J132210.19-480917.7,,
WISEA J080039.42-484009.0,,
2MASX J04323925+1105020,,
WISEA J040045.16+181402.8,,
SDSS J141516.85+192301.0,,
SDSS J141438.55+191311.6,,
DESI J003.3832-00.6648,,
SDSS J014327.08+334344.1,,
WISEA J014355.00+340712.2,,
WISEA J021308.50+345909.5,,
WISEA J021643.56+341312.3,,
WISEA J032616.92+170349.1,,
2MFGC 05569,,
WISEA J074406.84+280121.7,,
WISEA J100242.46+004734.2,,
SDSS J101655.31+285650.2,,
PGC 1873341,,
WISEA J120104.60+305846.9,,
WISEA J121907.59+300048.7,,
WISEA J123920.04+304352.9,,
WISEA J131505.30+301339.1,,
GALEXASC J132032.89+294344.7,,
WISEA J132430.85-425240.8,,
WISEA J140129.58+291414.4,,
WISEA J140220.32+295053.3,,
WISEA J141525.21+303353.6,,
2MASX J14595417+3027373,,
SDSS J152106.09+312114.2,,
WISEA J160143.98+842127.2,,
SDSS J162454.26+341216.9,,
SDSS J171808.10+425947.5,,
DESI J271.8564+30.5428,,
2MASS J18134092+3052519,,
PGC 1926394,,
WISEA J181805.17+312044.4,,
PGC 1842158,,
WISEA J183024.56+311717.3,,
WISEA J183148.86+311457.2,,
PGC 1206064,,
WISEA J204746.98+144041.6,,
WISEA J210410.23+201350.0,,
WISEA J213007.98+120830.3,,
PGC 1371388,,
DESI J327.9888-00.4020,,
WISEA J224303.12+332008.9,,
PGC 588485,,spurious
WISEA J173702.56-005440.6,,
WISEA J173704.33-005508.8,,
PGC 1195927,,
FCCB 1856,,
SDSS J120813.66+004703.3,,
GALEXASC J041958.12-061557.4,,
WISEA J043321.32-132549.6,,
WISEA J085035.00+101207.6,,
WISEA J092912.50+392211.3,,
WISEA J050146.37-181233.4,,missing companion
ESO 359-IG 021 NED01,,very poor initial positions
ESO 359-IG 021 NED02,,very poor initial positions
ESO 291- G?008,,no source
ESO 201- G?019,,no source
ESO 263- G 028,,no source
KUG 1206+229B,,no source
ESO 502- G 001,,no source
DESI J013.9389-37.4273,,no source
ABELL 2111:[FPC2000] 28,,small
WISEA J153939.34+342513.0,,small
WISEA J061354.21+502601.1,,off-footprint
2dFGRS S276Z211,,duplicate
SDSS J023238.88+003702.9,,shred
SDSS J072900.44+430356.4,,shred
SDSS J073426.96+380014.6,,shred
2MASS J07342806+3800582,,small
SDSS J082916.14+345528.0,,shred
2MASS J08412619+3614188,,small
SDSS J084126.68+361421.5,,small
WISEA J125518.11+292838.1,,small
LCSB S2222P,,small
WISEA J213248.64+010923.7,,small
SDSS J233504.51+010126.8,,shred
2dFGRS S438Z216,,shred
WISEA J104059.13-005728.2,,small
GALEXASC J104059.42-005736.4,,small
2MASS J10405967-0057392,,small
2MASS J10405972-0057328,,small
PGC 667092,,shred
PGC 667246,,no source
PGC 605538,,shred
2MASX J11444363-3431109,,shred
2MASX J19163560-4027435,,shred
2MASX J18013053+1518116,,shred
PGC501360,,shred
PGC 502129,,shred
ABELL 1809:[KMD98] 015,,shred
2MASS J17391368+1804030,,star
PGC642893,,shred
PGC 576866,,shred
SDSS J095611.64-000439.5,,shred
SDSS J100901.24+000305.2,,shred
PGC1838500,,small
WISEA J223808.00+283146.0,,small
SARS 058.75783-27.40753,,shred
SARS 058.45396-27.18847,,shred
SDSS J134310.69+205744.6,,shred
GALEXMSC J024135.41-351933.7,,shred
GALEXASC J052701.78-312459.1,,shred
PGC 699866,,shred
2dFGRS S260Z036,,shred
PGC 735557,,shred
CGMW 4-6547,,shred
CGMW 5-05242,,small
CGMW 5-05240,,small
ABELL 3559:[KMD98] 024,,shred
PGC 692385,,shred
2MASX J13382908-3307113,,shred
WISEA J174834.71+151113.0,,small
WISEA J174835.06+151112.4,,small
SDSS J170311.59+212621.1,,shred
