# Objects to drop in the parent-building step based on VI.
#
# NB: If "region" is blank, then drop from all/both regions.
#
# NB: The comment "very poor initial positions" means the source is
# real but it just needs more work.
#
objname,region,comment
WISEA J031830.13+182549.6,,
WISEA J132157.17-480650.8,,
WISEA J031723.77+182745.7,,
2MASX J18511547+2505421,,
CGMW 5-04215,,
WISEA J015717.58+342749.1,,
WISEA J162746.86-241341.4,,
WISEA J171549.38+010544.4,,
GALEXASC J180325.47+120339.9,,
WISEA J023532.62+312223.5,,
WISEA J032842.99+203747.5,,
2MASX J18091991+1258421,,
WISEA J024215.02+281245.2,,
WISEA J024456.75+245816.1,,
WISEA J004948.11+341937.2,,
2MASS J00492811+3419381,,
WISEA J005042.73+341933.0,,
2MASX J00420011+3356536,,
WISEA J004323.23+350648.0,,
WISEA J004455.31+341726.3,,
WISEA J235720.52+340339.1,,
WISEA J200525.97+064700.7,,
WISEA J132428.18-425304.3,,
2MASX J13221701-4807165,,
2MASS J13220944-4809157,,
WISEA J132210.19-480917.7,,
WISEA J080039.42-484009.0,,
2MASX J04323925+1105020,,
WISEA J040045.16+181402.8,,
SDSS J141516.85+192301.0,,
SDSS J141438.55+191311.6,,
DESI J003.3832-00.6648,,
SDSS J014327.08+334344.1,,
WISEA J014355.00+340712.2,,
WISEA J021308.50+345909.5,,
WISEA J021643.56+341312.3,,
WISEA J032616.92+170349.1,,
2MFGC 05569,,
WISEA J074406.84+280121.7,,
WISEA J100242.46+004734.2,,
SDSS J101655.31+285650.2,,
PGC 1873341,,
WISEA J120104.60+305846.9,,
WISEA J121907.59+300048.7,,
WISEA J123920.04+304352.9,,
WISEA J131505.30+301339.1,,
GALEXASC J132032.89+294344.7,,
WISEA J132430.85-425240.8,,
WISEA J140129.58+291414.4,,
WISEA J140220.32+295053.3,,
WISEA J141525.21+303353.6,,
2MASX J14595417+3027373,,
SDSS J152106.09+312114.2,,
WISEA J160143.98+842127.2,,
SDSS J162454.26+341216.9,,
SDSS J171808.10+425947.5,,
DESI J271.8564+30.5428,,
2MASS J18134092+3052519,,
PGC 1926394,,
WISEA J181805.17+312044.4,,
PGC 1842158,,
WISEA J183024.56+311717.3,,
WISEA J183148.86+311457.2,,
PGC 1206064,,
WISEA J204746.98+144041.6,,
WISEA J210410.23+201350.0,,
WISEA J213007.98+120830.3,,
PGC 1371388,,
DESI J327.9888-00.4020,,
WISEA J224303.12+332008.9,,
PGC 588485,,spurious
WISEA J173702.56-005440.6,,
WISEA J173704.33-005508.8,,
PGC 1195927,,
FCCB 1856,,
SDSS J120813.66+004703.3,,
GALEXASC J041958.12-061557.4,,
WISEA J043321.32-132549.6,,
WISEA J085035.00+101207.6,,
WISEA J092912.50+392211.3,,
WISEA J050146.37-181233.4,,missing companion
ESO 359-IG 021 NED01,,very poor initial positions
ESO 359-IG 021 NED02,,very poor initial positions
ESO 291- G?008,,no source
ESO 201- G?019,,no source
ESO 263- G 028,,no source
KUG 1206+229B,,no source
ESO 502- G 001,,no source
DESI J013.9389-37.4273,,no source
ABELL 2111:[FPC2000] 28,,small
WISEA J153939.34+342513.0,,small
WISEA J061354.21+502601.1,,off-footprint
2dFGRS S276Z211,,duplicate
SDSS J023238.88+003702.9,,shred
SDSS J072900.44+430356.4,,shred
SDSS J073426.96+380014.6,,shred
2MASS J07342806+3800582,,small
SDSS J082916.14+345528.0,,shred
2MASS J08412619+3614188,,small
SDSS J084126.68+361421.5,,small
WISEA J125518.11+292838.1,,small
LCSB S2222P,,small
WISEA J213248.64+010923.7,,small
SDSS J233504.51+010126.8,,shred
2dFGRS S438Z216,,shred
WISEA J104059.13-005728.2,,small
GALEXASC J104059.42-005736.4,,small
2MASS J10405967-0057392,,small
2MASS J10405972-0057328,,small
PGC 667092,,shred
PGC 667246,,no source
PGC 605538,,shred
2MASX J11444363-3431109,,shred
2MASX J19163560-4027435,,shred
2MASX J18013053+1518116,,shred
PGC501360,,shred
PGC 502129,,shred
ABELL 1809:[KMD98] 015,,shred
2MASS J17391368+1804030,,star
PGC642893,,shred
PGC 576866,,shred
SDSS J095611.64-000439.5,,shred
SDSS J100901.24+000305.2,,shred
PGC1838500,,small
WISEA J223808.00+283146.0,,small
SARS 058.75783-27.40753,,shred
SARS 058.45396-27.18847,,shred
SDSS J134310.69+205744.6,,shred
GALEXMSC J024135.41-351933.7,,shred
GALEXASC J052701.78-312459.1,,shred
PGC 699866,,shred
2dFGRS S260Z036,,shred
PGC 735557,,shred
CGMW 4-6547,,shred
CGMW 5-05242,,small
CGMW 5-05240,,small
ABELL 3559:[KMD98] 024,,shred
PGC 692385,,shred
2MASX J13382908-3307113,,shred
WISEA J174834.71+151113.0,,small
WISEA J174835.06+151112.4,,small
SDSS J170311.59+212621.1,,shred
PGC 1180475,dr9-north,no Tractor source
DESI J001.2033+00.3994,dr9-north,no Tractor source
DESI J001.4230+00.4285,dr9-north,no Tractor source
DESI J001.6275-00.0175,dr9-north,no Tractor source
DESI J001.8327-00.1094,dr9-north,no Tractor source
DESI J001.9300-00.2408,dr9-north,no Tractor source
DESI J001.9736-00.3345,dr9-north,no Tractor source
DESI J001.9837-00.2934,dr9-north,no Tractor source
DESI J002.0539-00.3915,dr9-north,no Tractor source
DESI J002.0628-00.2453,dr9-north,no Tractor source
DESI J002.1506+00.1456,dr9-north,no Tractor source
DESI J002.2489-00.6238,dr9-north,no Tractor source
DESI J002.2711-00.5019,dr9-north,no Tractor source
DESI J002.2990-00.5481,dr9-north,no Tractor source
DESI J002.4893-00.6399,dr9-north,no Tractor source
DESI J002.5054-00.6527,dr9-north,no Tractor source
WISEA J001153.43-000910.0,dr9-north,no Tractor source
DESI J003.0533-00.6916,dr9-north,no Tractor source
DESI J003.1059-00.5557,dr9-north,no Tractor source
DESI J003.1169-00.5348,dr9-north,no Tractor source
DESI J003.1177-00.7002,dr9-north,no Tractor source
DESI J003.1408-00.8463,dr9-north,no Tractor source
DESI J003.1743-00.9380,dr9-north,no Tractor source
DESI J003.1837-00.8468,dr9-north,no Tractor source
DESI J003.1810-00.9165,dr9-north,no Tractor source
DESI J003.2781-00.7333,dr9-north,no Tractor source
DESI J003.4497-00.6842,dr9-north,no Tractor source
DESI J003.4494-00.7835,dr9-north,no Tractor source
DESI J003.4658-00.6250,dr9-north,no Tractor source
DESI J003.4984-00.6529,dr9-north,no Tractor source
DESI J003.4990-00.6767,dr9-north,no Tractor source
DESI J003.6525-01.1524,dr9-north,no Tractor source
DESI J003.6857-00.3745,dr9-north,no Tractor source
SDSS J001520.67+010436.9,dr9-north,no Tractor source
SMDG J0015213+010428,dr9-north,no Tractor source
DESI J003.8491-00.3372,dr9-north,no Tractor source
DESI J003.8686-01.1750,dr9-north,no Tractor source
SDSS J001626.16-002109.5,dr9-north,no Tractor source
DESI J004.1160-01.3543,dr9-north,no Tractor source
GALEXMSC J001650.05-002752.9,dr9-north,no Tractor source
PGC 1167127,dr9-north,no Tractor source
WISEA J001743.51+013527.5,dr9-north,no Tractor source
PGC 1128107,dr9-north,no Tractor source
WISEA J001802.63+013538.0,dr9-north,no Tractor source
SDSS J001914.31-012710.9,dr9-north,no Tractor source
PGC 1189657,dr9-north,no Tractor source
DESI J005.0217+00.6289,dr9-north,no Tractor source
SMDG J0021030+004446,dr9-north,no Tractor source
SDSS J002137.57-010035.9,dr9-north,no Tractor source
SDSS J002146.55-004718.5,dr9-north,no Tractor source
PGC 1140017,dr9-north,no Tractor source
PGC 1126377,dr9-north,no Tractor source
WISEA J002418.50+013222.4,dr9-north,no Tractor source
PGC 1120800,dr9-north,no Tractor source
SMDG J0025396+011515,dr9-north,no Tractor source
PGC 1135474,dr9-north,no Tractor source
SDSS J002740.84+003058.3,dr9-north,no Tractor source
SDSS J002739.79+003057.8,dr9-north,no Tractor source
SDSS J002829.41+001032.0,dr9-north,no Tractor source
WISEA J002836.20-013300.3,dr9-north,no Tractor source
UGC 00322,dr9-north,no Tractor source
SDSS J003333.39-005002.8,dr9-north,no Tractor source
PGC 1156197,dr9-north,no Tractor source
SDSS J003712.57-010832.9,dr9-north,no Tractor source
DESI J009.5667-00.6161,dr9-north,no Tractor source
WISEA J003824.80-013122.0,dr9-north,no Tractor source
2MASX J00401864+0047245,dr9-north,no Tractor source
GALEXASC J015000.81+285454.1,dr9-north,no Tractor source
SMDG J0220548-003931,dr9-north,no Tractor source
DESI J036.9259+00.2338,dr9-north,no Tractor source
SMDG J0228493-011815,dr9-north,no Tractor source
WISEA J022908.53-024609.4,dr9-north,no Tractor source
PGC 1104098,dr9-north,no Tractor source
SDSS J023012.30-005042.3,dr9-north,no Tractor source
DESI J037.7561+00.2639,dr9-north,no Tractor source
PGC 1123117,dr9-north,no Tractor source
DESI J037.8023+01.6230,dr9-north,no Tractor source
PGC 1111307,dr9-north,no Tractor source
SMDG J0237160+013709,dr9-north,no Tractor source
PGC 1097702,dr9-north,no Tractor source
WISEA J023903.29+024545.6,dr9-north,no Tractor source
SDSS J024042.93+011222.3,dr9-north,no Tractor source
WISEA J024129.85-024619.7,dr9-north,no Tractor source
DESI J040.7424+00.0143,dr9-north,no Tractor source
SDSS J025008.72-010929.6,dr9-north,no Tractor source
WISEA J025031.26+005747.4,dr9-north,no Tractor source
WISEA J060211.57+614234.4,dr9-north,no Tractor source
DESI J091.1753+61.1318,dr9-north,no Tractor source
DESI J092.4522+67.2658,dr9-north,no Tractor source
WISEA J061426.80+614637.6,dr9-north,no Tractor source
WISEA J061544.26+464613.6,dr9-north,no Tractor source
WISEA J061607.63+481412.4,dr9-north,no Tractor source
DESI J094.5967+53.6397,dr9-north,no Tractor source
WISEA J061902.29+433643.3,dr9-north,no Tractor source
DESI J094.8103+53.7711,dr9-north,no Tractor source
WISEA J062830.78+494636.6,dr9-north,no Tractor source
WISEA J062950.96+365854.8,dr9-north,no Tractor source
PGC 2576749,dr9-north,no Tractor source
2MASX J06345577+7209034,dr9-north,no Tractor source
DESI J100.1851+48.2144,dr9-north,no Tractor source
DESI J100.1813+79.5532,dr9-north,no Tractor source
DESI J100.2635+56.8648,dr9-north,no Tractor source
DESI J100.7445+34.1725,dr9-north,no Tractor source
DESI J101.2106+71.8342,dr9-north,no Tractor source
DESI J101.4249+59.4957,dr9-north,no Tractor source
DESI J102.6868+46.0231,dr9-north,no Tractor source
DESI J103.3189+44.7861,dr9-north,no Tractor source
PGC 2037605,dr9-north,no Tractor source
DESI J104.0490+60.0010,dr9-north,no Tractor source
2MASX J07005166+4746197,dr9-north,no Tractor source
2MASX J07022364+5848215,dr9-north,no Tractor source
PGC 1973769,dr9-north,no Tractor source
PGC 1862294,dr9-north,no Tractor source
FGC 085A,dr9-north,no Tractor source
DESI J107.9122+60.2640,dr9-north,no Tractor source
DESI J108.2365+32.0027,dr9-north,no Tractor source
DESI J109.0256+47.6331,dr9-north,no Tractor source
PGC 2260495,dr9-north,no Tractor source
2MASX J07171218+5843066,dr9-north,no Tractor source
KUG 0713+433,dr9-north,no Tractor source
WISEA J071819.15+830555.7,dr9-north,no Tractor source
WISEA J072102.15+394835.7,dr9-north,no Tractor source
SDSS J072358.05+385836.4,dr9-north,no Tractor source
2MASX J07251062+3125439,dr9-north,no Tractor source
DESI J111.3850+32.8477,dr9-north,no Tractor source
PGC 2169696,dr9-north,no Tractor source
WISEA J072701.94+825915.8,dr9-north,no Tractor source
DESI J112.1983+31.6580,dr9-north,no Tractor source
2MASS J07295081+4351568,dr9-north,no Tractor source
PGC 2289253,dr9-north,no Tractor source
DESI J113.4674+31.6926,dr9-north,no Tractor source
DESI J113.6916+31.0022,dr9-north,no Tractor source
DESI J113.7329+31.6401,dr9-north,no Tractor source
DESI J113.7465+31.6600,dr9-north,no Tractor source
DESI J114.0097+31.8009,dr9-north,no Tractor source
DESI J114.0257+31.7813,dr9-north,no Tractor source
DESI J114.0986+47.8737,dr9-north,no Tractor source
2MASX J07363346+3410273,dr9-north,no Tractor source
DESI J114.2385+31.3898,dr9-north,no Tractor source
DESI J114.3244+60.5047,dr9-north,no Tractor source
DESI J114.3476+46.3197,dr9-north,no Tractor source
2MASS J07382381+2919539,dr9-north,no Tractor source
SDSS J073831.95+383712.7,dr9-north,no Tractor source
DESI J114.8257+53.9491,dr9-north,no Tractor source
DESI J115.1106+41.1394,dr9-north,no Tractor source
2MASX J07403997+8312329,dr9-north,no Tractor source
PGC 2139726,dr9-north,no Tractor source
SDSS J074131.81+313548.6,dr9-north,no Tractor source
2MASS J07420978+4021562,dr9-north,no Tractor source
2MASX J07452453+6840469,dr9-north,no Tractor source
SDSS J074537.42+335645.3,dr9-north,no Tractor source
SDSS J074954.03+411219.3,dr9-north,no Tractor source
SDSS J075209.98+292315.4,dr9-north,no Tractor source
DESI J118.2427+33.5781,dr9-north,no Tractor source
WISEA J075326.31+303548.4,dr9-north,no Tractor source
DESI J118.7702+62.0315,dr9-north,no Tractor source
2MASX J07565577+2919503,dr9-north,no Tractor source
SDSS J075657.24+484427.0,dr9-north,no Tractor source
WISEA J075945.28+300545.5,dr9-north,no Tractor source
SDSS J080121.04+441611.9,dr9-north,no Tractor source
WISEA J080153.16+291359.5,dr9-north,no Tractor source
DESI J121.1394+55.5090,dr9-north,no Tractor source
PGC2145742,dr9-north,no Tractor source
SDSS J080603.24+361447.0,dr9-north,no Tractor source
MCG +10-12-073,dr9-north,no Tractor source
WISEA J081047.45+292822.1,dr9-north,no Tractor source
B2 0808+38,dr9-north,no Tractor source
SDSS J081301.78+304436.0,dr9-north,no Tractor source
SDSS J081337.14+575348.0,dr9-north,no Tractor source
PGC 3097391,dr9-north,no Tractor source
SDSS J081848.60+551421.9,dr9-north,no Tractor source
SDSS J081941.44+451406.7,dr9-north,no Tractor source
SDSS J081948.73+564724.6,dr9-north,no Tractor source
DESI J125.9274+53.2975,dr9-north,no Tractor source
SDSS J082542.42+365540.8,dr9-north,no Tractor source
2MASX J08262839+4150305,dr9-north,no Tractor source
WISEA J082703.26+370442.8,dr9-north,no Tractor source
SDSS J082742.09+382102.9,dr9-north,no Tractor source
WISEA J082747.86+443946.9,dr9-north,no Tractor source
SDSS J082823.16+302232.3,dr9-north,no Tractor source
SMDG J0828373+303924,dr9-north,no Tractor source
SDSS J082907.60+381411.5,dr9-north,no Tractor source
SDSS J083008.47+295445.6,dr9-north,no Tractor source
SDSS J083010.74+512021.3,dr9-north,no Tractor source
SDSS J083540.53+331533.4,dr9-north,no Tractor source
SDSS J083803.61+505508.9,dr9-north,no Tractor source
SDSS J083817.69+554952.1,dr9-north,no Tractor source
WISEA J083848.08+292211.6,dr9-north,no Tractor source
2MASS J08385702+4519383,dr9-north,no Tractor source
DESI J129.8649+61.8390,dr9-north,no Tractor source
SDSS J084249.27+561808.1,dr9-north,no Tractor source
SDSS J084311.73+342519.5,dr9-north,no Tractor source
SDSS J084708.05+513720.3,dr9-north,no Tractor source
SDSS J084712.38+515328.3,dr9-north,no Tractor source
SDSS J084827.47+545703.4,dr9-north,no Tractor source
WISEA J084859.64+292910.3,dr9-north,no Tractor source
2MASX J08493878+2959173,dr9-north,no Tractor source
2MASX J08521145+2929062,dr9-north,no Tractor source
SMDG J0854195+310242,dr9-north,no Tractor source
2MASX J08564217+3621551,dr9-north,no Tractor source
WISEA J085701.95+470912.3,dr9-north,no Tractor source
2MASS J08573620+5304551,dr9-north,no Tractor source
PGC2511378,dr9-north,no Tractor source
2MASS J08592194+5643137,dr9-north,no Tractor source
PGC 3097462,dr9-north,no Tractor source
SDSS J090306.83+372221.9,dr9-north,no Tractor source
DESI J136.9880+65.7811,dr9-north,no Tractor source
2MASX J09084495+3058284,dr9-north,no Tractor source
PGC 1944170,dr9-north,no Tractor source
WISEA J090902.92+291959.5,dr9-north,no Tractor source
DESI J137.4728+64.2645,dr9-north,no Tractor source
2MASX J09095952+7102189,dr9-north,no Tractor source
MCG +09-15-104,dr9-north,no Tractor source
SDSS J091023.04+352608.5,dr9-north,no Tractor source
PGC 2295023,dr9-north,no Tractor source
AGC 190102,dr9-north,no Tractor source
CGCG 151-031,dr9-north,no Tractor source
SDSS J091701.12+500246.5,dr9-north,no Tractor source
WISEA J091717.27+541826.6,dr9-north,no Tractor source
DESI J139.3908+66.3777,dr9-north,no Tractor source
DESI J139.9171+70.1160,dr9-north,no Tractor source
2MASX J09200072+4519148,dr9-north,no Tractor source
SDSS J092007.44+540424.4,dr9-north,no Tractor source
SDSS J092039.20+305355.2,dr9-north,no Tractor source
SDSS J092147.95+294454.9,dr9-north,no Tractor source
2MASS J09234027+5425299,dr9-north,no Tractor source
2MASX J09234086+5425280,dr9-north,no Tractor source
DESI J141.7182+49.8984,dr9-north,no Tractor source
MRK 0111 NED02,dr9-north,no Tractor source
IC 2479,dr9-north,no Tractor source
WISEA J093006.57+292903.4,dr9-north,no Tractor source
SDSS J093017.08+560621.5,dr9-north,no Tractor source
SDSS J093123.56+303303.0,dr9-north,no Tractor source
SDSS J093153.48+571510.9,dr9-north,no Tractor source
SDSS J093224.49+313019.8,dr9-north,no Tractor source
DESI J143.1636+66.1898,dr9-north,no Tractor source
WISEA J093247.17+481953.7,dr9-north,no Tractor source
DESI J143.7162+65.6616,dr9-north,no Tractor source
2MASX J09351230+8115292,dr9-north,no Tractor source
SDSS J093539.02+310143.8,dr9-north,no Tractor source
WISEA J093952.72+490750.3,dr9-north,no Tractor source
SDSS J094253.81+294259.5,dr9-north,no Tractor source
2MASX J09440175+0040429,dr9-north,no Tractor source
SDSS J094601.56+585804.4,dr9-north,no Tractor source
SDSS J094631.07+345512.0,dr9-north,no Tractor source
DESI J146.8723+00.4754,dr9-north,no Tractor source
PGC 1181339,dr9-north,no Tractor source
SDSS J095056.09+594251.4,dr9-north,no Tractor source
NGC 3032,dr9-north,no Tractor source
2MASX J09521985+0012130,dr9-north,no Tractor source
WISEA J095220.95+005813.1,dr9-north,no Tractor source
SMDG J0953011+615523,dr9-north,no Tractor source
WISEA J095443.65+680851.0,dr9-north,no Tractor source
DESI J149.0070+77.9549,dr9-north,no Tractor source
PGC 1175838,dr9-north,no Tractor source
PGC 1203670,dr9-north,no Tractor source
SDSS J095641.31+304452.8,dr9-north,no Tractor source
PGC 1185402,dr9-north,no Tractor source
SMDG J0957129+011116,dr9-north,no Tractor source
SDSS J095808.30+015449.5,dr9-north,no Tractor source
WISEA J095820.22+292634.7,dr9-north,no Tractor source
SDSS J100003.43+020150.4,dr9-north,no Tractor source
SDSS J100114.25+621212.4,dr9-north,no Tractor source
SDSS J100129.63+465940.5,dr9-north,no Tractor source
WISEA J100136.93+023031.9,dr9-north,no Tractor source
GALEXASC J100354.97+011105.3,dr9-north,no Tractor source
GALEXASC J100552.41+384348.8,dr9-north,no Tractor source
WISEA J100622.71+683928.2,dr9-north,no Tractor source
DESI J151.7409+35.1961,dr9-north,no Tractor source
DESI J151.8784+35.1398,dr9-north,no Tractor source
WISEA J101427.21+301006.3,dr9-north,no Tractor source
SDSS J101608.13+601139.8,dr9-north,no Tractor source
PGC 2075995,dr9-north,no Tractor source
SDSS J101712.74+281131.5,dr9-north,no Tractor source
PGC 2084423,dr9-north,no Tractor source
MAILYAN 052,dr9-north,no Tractor source
SDSS J101836.77+512753.0,dr9-north,no Tractor source
PGC 1877654,dr9-north,no Tractor source
WISEA J102034.93+291410.7,dr9-north,no Tractor source
WISEA J102041.68+284204.5,dr9-north,no Tractor source
SDSS J102041.56+284314.3,dr9-north,no Tractor source
PGC 2678232,dr9-north,no Tractor source
SDSS J102524.04+434239.2,dr9-north,no Tractor source
DESI J156.9011+51.7233,dr9-north,no Tractor source
SDSS J102814.98+400752.2,dr9-north,no Tractor source
SDSS J102823.20+355327.2,dr9-north,no Tractor source
SDSS J102910.14+380956.1,dr9-north,no Tractor source
2MASX J10300369+6158087,dr9-north,no Tractor source
SDSS J103027.85+484635.5,dr9-north,no Tractor source
SDSS J103131.07+401503.3,dr9-north,no Tractor source
DESI J158.0145+32.4323,dr9-north,no Tractor source
2MASX J10323699+6753400,dr9-north,no Tractor source
DESI J158.3443+53.5030,dr9-north,no Tractor source
SDSS J103519.99+454446.2,dr9-north,no Tractor source
PGC 2218056,dr9-north,no Tractor source
SDSS J103722.21+353214.7,dr9-north,no Tractor source
DESI J159.7011+32.0782,dr9-north,no Tractor source
SDSS J103956.75+475841.5,dr9-north,no Tractor source
B3 1037+401,dr9-north,no Tractor source
PGC 2260071,dr9-north,no Tractor source
SDSS J104344.70+422433.7,dr9-north,no Tractor source
WISEA J104446.48+341458.3,dr9-north,no Tractor source
WISEA J104507.01+281413.2,dr9-north,no Tractor source
DESI J161.6554+72.8303,dr9-north,no Tractor source
WISEA J104643.73+574854.5,dr9-north,no Tractor source
WISEA J105034.63+294412.1,dr9-north,no Tractor source
SDSS J105137.53+301707.9,dr9-north,no Tractor source
PGC 2053569,dr9-north,no Tractor source
DESI J162.9656+83.8927,dr9-north,no Tractor source
PGC2699378,dr9-north,no Tractor source
MAPS-NGP O_318_0347116,dr9-north,no Tractor source
DESI J164.3223+40.4303,dr9-north,no Tractor source
SDSS J105828.53+304716.1,dr9-north,no Tractor source
WISEA J110040.29+294418.1,dr9-north,no Tractor source
SDSS J110353.20+405052.8,dr9-north,no Tractor source
SDSS J110444.52+580854.2,dr9-north,no Tractor source
SDSS J110457.80+330828.6,dr9-north,no Tractor source
DESI J166.4596+44.5050,dr9-north,no Tractor source
SDSS J110725.61+402421.7,dr9-north,no Tractor source
2MASS J11074996+5833549,dr9-north,no Tractor source
SDSS J110827.15+430929.9,dr9-north,no Tractor source
WISEA J110846.41+491457.3,dr9-north,no Tractor source
SDSS J110851.85+312131.0,dr9-north,no Tractor source
SMDG J1109408+294002,dr9-north,no Tractor source
DESI J167.4599+80.9658,dr9-north,no Tractor source
SMDG J1109524+305815,dr9-north,no Tractor source
SDSS J111010.10+291449.2,dr9-north,no Tractor source
MAPS-NGP O_319_0478547,dr9-north,no Tractor source
2MASS J11104297+4805125,dr9-north,no Tractor source
MAPS-NGP O_319_0287663,dr9-north,no Tractor source
SDSS J111241.94+580820.2,dr9-north,no Tractor source
PGC 2363750,dr9-north,no Tractor source
SDSSCGB 13783.02,dr9-north,no Tractor source
SDSS J111652.14+330051.6,dr9-north,no Tractor source
SDSS J111727.51+373244.0,dr9-north,no Tractor source
SDSS J111751.60+432010.8,dr9-north,no Tractor source
SDSS J111858.13+610426.6,dr9-north,no Tractor source
SDSS J111956.56+313948.7,dr9-north,no Tractor source
SDSS J112034.52+294049.3,dr9-north,no Tractor source
2MASX J11211430+3420368,dr9-north,no Tractor source
WISEA J112259.90+293929.1,dr9-north,no Tractor source
WISEA J112324.42+354011.4,dr9-north,no Tractor source
DESI J170.9637+73.4595,dr9-north,no Tractor source
MAPS-NGP O_216_0923092,dr9-north,no Tractor source
SDSS J112834.64+392958.2,dr9-north,no Tractor source
SDSS J112931.17+475056.0,dr9-north,no Tractor source
PGC 2236931,dr9-north,no Tractor source
PGC2617222,dr9-north,no Tractor source
2MASX J11362090+5513077,dr9-north,no Tractor source
SMDG J1139474+313858,dr9-north,no Tractor source
PGC 2071472,dr9-north,no Tractor source
PGC 2233712,dr9-north,no Tractor source
PGC 2602674,dr9-north,no Tractor source
SMDG J1146296+295304,dr9-north,no Tractor source
WISEA J114849.36+371910.8,dr9-north,no Tractor source
PGC 2229471,dr9-north,no Tractor source
SDSS J115239.02+665020.1,dr9-north,no Tractor source
SDSS J115318.71+573142.9,dr9-north,no Tractor source
SDSS J115325.66+355655.5,dr9-north,no Tractor source
DESI J178.8740+30.0841,dr9-north,no Tractor source
2MASS J11560563+2929208,dr9-north,no Tractor source
WISEA J115751.64+300028.2,dr9-north,no Tractor source
SDSS J115813.84+445511.7,dr9-north,no Tractor source
WISEA J115816.06+294906.3,dr9-north,no Tractor source
WISEA J115851.89+311921.2,dr9-north,no Tractor source
SDSS J120001.64+540731.4,dr9-north,no Tractor source
SDSS J120201.44+432353.6,dr9-north,no Tractor source
SDSS J120431.74+482801.7,dr9-north,no Tractor source
SDSS J120518.61+393349.4,dr9-north,no Tractor source
SDSS J120526.93+512011.0,dr9-north,no Tractor source
